,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
2003,"html, node.js, statistics, embedded systems, tensorflow","gitlab, google cloud, docker, jupyter",web development,postgraduate,Backend Developer,backend developer
2004,"tensorflow, spark, azure, nlp","kubernetes, postman, pycharm",design,undergraduate,UI/UX Designer,ui/ux designer
2005,"machine learning, git, spark, nlp, sql","figma, docker, vs code, pycharm",data science,graduate,Data Scientist,data scientist
2006,"tensorflow, tableau, html, node.js, c++, python, cybersecurity","vs code, kubernetes",cloud,graduate,DevOps Engineer,devops engineer
2007,"cybersecurity, css, rest apis, hadoop, sql, networking, python","jupyter, docker, vs code, google cloud",web development,undergraduate,Frontend Developer,frontend developer
2008,"git, networking, pytorch, data analysis, docker, html, sql","aws ec2, jupyter, kubernetes",cybersecurity,graduate,Security Engineer,security engineer
2009,"sql, ui/ux, react, javascript, hadoop, html, pytorch","figma, jira, github",web development,graduate,Frontend Developer,frontend developer
2010,"rest apis, node.js, sql, javascript","azure portal, docker, github",cloud,undergraduate,DevOps Engineer,devops engineer
2011,"hadoop, kubernetes, python, embedded systems, pytorch, rest apis","pycharm, gitlab",web development,graduate,Frontend Developer,frontend developer
2012,"c++, spark, machine learning, tableau, cybersecurity","kubernetes, vs code, github, jupyter",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2013,"sql, deep learning, rest apis, statistics","jira, vs code, aws ec2, pycharm",data science,postgraduate,Data Analyst,data analyst
2014,"embedded systems, sql, kubernetes, node.js, html","kubernetes, aws ec2",cloud,postgraduate,DevOps Engineer,devops engineer
2015,"c++, react, cybersecurity, data analysis, java, git","kubernetes, gitlab, jupyter",data science,undergraduate,Data Scientist,data scientist
2016,"java, deep learning, azure, spark","github, figma",data science,graduate,Data Scientist,data scientist
2017,"hadoop, java, rest apis, python, docker","gitlab, aws ec2, figma",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2018,"networking, aws, machine learning, javascript","github, azure portal, kubernetes, gitlab",data science,graduate,Data Analyst,data analyst
2019,"java, networking, cybersecurity, hadoop, power bi, node.js","google cloud, pycharm",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
2020,"react, kubernetes, css, deep learning, nlp","azure portal, jupyter, pycharm",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2021,"javascript, machine learning, kubernetes, html, aws, spark, hadoop","jira, gitlab",cloud,graduate,Cloud Engineer,cloud engineer
2022,"linux, react, tensorflow, node.js, docker","postman, google cloud, docker, aws ec2",data science,graduate,Data Scientist,data scientist
2023,"power bi, css, embedded systems, figma, docker, azure","azure portal, aws ec2, docker, gitlab",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2024,"c++, javascript, kubernetes, pytorch, statistics, docker, ui/ux","google cloud, vs code, aws ec2",ai/ml,postgraduate,AI Engineer,ai engineer
2025,"spark, tableau, java, css, statistics, rest apis, html","postman, aws ec2, jira, google cloud",cloud,undergraduate,DevOps Engineer,devops engineer
2026,"sql, aws, spark, embedded systems, docker, deep learning","figma, github, gitlab, vs code",data science,postgraduate,Data Scientist,data scientist
2027,"figma, java, statistics, c++, node.js","azure portal, vs code, kubernetes",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2028,"aws, networking, figma, docker","jupyter, pycharm, postman",design,graduate,UI/UX Designer,ui/ux designer
2029,"azure, deep learning, git, linux, docker, tableau, nlp","azure portal, kubernetes, jira",ai/ml,postgraduate,AI Engineer,ai engineer
2030,"c++, css, deep learning, azure, kubernetes","pycharm, github, jupyter",web development,graduate,Backend Developer,backend developer
2031,"machine learning, kubernetes, ui/ux, azure, java, tensorflow, hadoop","google cloud, kubernetes, vs code",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2032,"java, statistics, docker, figma","google cloud, jira, github, azure portal",ai/ml,undergraduate,AI Engineer,ai engineer
2033,"aws, css, statistics, cybersecurity, azure","github, gitlab, google cloud, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2034,"sql, spark, node.js, power bi","github, gitlab, figma",cloud,undergraduate,DevOps Engineer,devops engineer
2035,"pytorch, tableau, node.js, linux","gitlab, pycharm, vs code, google cloud",data science,graduate,Data Scientist,data scientist
2036,"statistics, embedded systems, power bi, tensorflow, spark, java, pytorch","figma, gitlab",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2037,"java, react, machine learning, rest apis, aws, statistics, html","google cloud, jira",design,graduate,UI/UX Designer,ui/ux designer
2038,"spark, tableau, embedded systems, linux, tensorflow","figma, gitlab",data science,postgraduate,Data Analyst,data analyst
2039,"docker, html, azure, kubernetes, react","aws ec2, kubernetes, gitlab",data science,graduate,Data Analyst,data analyst
2040,"javascript, kubernetes, python, rest apis","docker, jira, google cloud",data science,undergraduate,Data Scientist,data scientist
2041,"linux, networking, aws, html, react, ui/ux","figma, google cloud",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2042,"css, azure, nlp, tensorflow","jupyter, vs code, github, pycharm",web development,graduate,Frontend Developer,frontend developer
2043,"hadoop, ui/ux, node.js, cybersecurity, c++, sql","docker, kubernetes, azure portal, jupyter",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2044,"aws, azure, docker, nlp","jupyter, postman",cloud,postgraduate,DevOps Engineer,devops engineer
2045,"azure, hadoop, aws, machine learning","gitlab, jira",web development,graduate,Backend Developer,backend developer
2046,"python, sql, spark, react, java, html","aws ec2, jira, docker, azure portal",cloud,undergraduate,DevOps Engineer,devops engineer
2047,"git, sql, data analysis, machine learning","jupyter, docker, figma",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2048,"c++, python, rest apis, docker, ui/ux, networking","vs code, gitlab, github, azure portal",design,undergraduate,UI/UX Designer,ui/ux designer
2049,"docker, react, linux, python, deep learning","azure portal, aws ec2",data science,postgraduate,Data Scientist,data scientist
2050,"css, react, python, javascript, pytorch, machine learning, c++","pycharm, jira, jupyter",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2051,"ui/ux, kubernetes, deep learning, hadoop, networking","azure portal, pycharm, google cloud, vs code",data science,graduate,Data Scientist,data scientist
2052,"sql, spark, python, kubernetes","jira, kubernetes, google cloud, postman",design,postgraduate,UI/UX Designer,ui/ux designer
2053,"power bi, node.js, html, sql","aws ec2, pycharm, google cloud, jira",ai/ml,postgraduate,AI Engineer,ai engineer
2054,"git, nlp, sql, figma, c++, java, deep learning","azure portal, pycharm, vs code, postman",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2055,"html, python, javascript, azure, kubernetes","github, vs code, postman, jupyter",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2056,"spark, pytorch, tableau, rest apis, deep learning, tensorflow","jupyter, figma, jira",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2057,"aws, statistics, docker, java, nlp, pytorch","postman, jupyter",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2058,"node.js, rest apis, figma, react, javascript, nlp","gitlab, google cloud",data science,graduate,Data Scientist,data scientist
2059,"c++, tableau, html, aws","jira, postman, docker, gitlab",data science,postgraduate,Data Analyst,data analyst
2060,"pytorch, html, networking, kubernetes, node.js, statistics","docker, pycharm, figma, vs code",web development,postgraduate,Frontend Developer,frontend developer
2061,"power bi, azure, linux, figma, statistics","postman, google cloud",web development,postgraduate,Backend Developer,backend developer
2062,"statistics, docker, git, ui/ux, hadoop, cybersecurity","vs code, figma, jira",ai/ml,postgraduate,AI Engineer,ai engineer
2063,"git, java, figma, kubernetes","jira, azure portal, kubernetes",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2064,"ui/ux, deep learning, hadoop, cybersecurity, azure","postman, gitlab",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
2065,"css, figma, git, embedded systems","gitlab, vs code",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
2066,"tensorflow, rest apis, deep learning, power bi, node.js, ui/ux","gitlab, github, figma, pycharm",data science,postgraduate,Data Analyst,data analyst
2067,"javascript, rest apis, nlp, react, java","azure portal, jupyter, postman",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2068,"ui/ux, statistics, react, figma, git, css","jupyter, pycharm",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2069,"embedded systems, ui/ux, power bi, java, tableau, spark, hadoop","gitlab, jupyter, github",web development,postgraduate,Backend Developer,backend developer
2070,"node.js, git, docker, sql, css, ui/ux","github, kubernetes",web development,undergraduate,Backend Developer,backend developer
2071,"git, css, nlp, power bi, c++, python","vs code, azure portal, postman",web development,postgraduate,Backend Developer,backend developer
2072,"java, css, react, tableau","vs code, pycharm",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2073,"tensorflow, git, css, c++","azure portal, github, aws ec2",web development,postgraduate,Backend Developer,backend developer
2074,"node.js, deep learning, spark, machine learning, css","figma, postman",ai/ml,undergraduate,AI Engineer,ai engineer
2075,"react, c++, embedded systems, hadoop","vs code, aws ec2, docker, kubernetes",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
2076,"cybersecurity, c++, kubernetes, tableau, rest apis, node.js","pycharm, vs code, docker",cloud,graduate,DevOps Engineer,devops engineer
2077,"spark, c++, data analysis, rest apis, css, sql, linux","jira, jupyter",design,undergraduate,UI/UX Designer,ui/ux designer
2078,"networking, pytorch, kubernetes, cybersecurity, css","figma, kubernetes, github, pycharm",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2079,"react, docker, cybersecurity, kubernetes, tableau, tensorflow","gitlab, aws ec2, google cloud, kubernetes",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
2080,"deep learning, machine learning, ui/ux, tensorflow, docker, rest apis","aws ec2, gitlab, pycharm, google cloud",data science,postgraduate,Data Analyst,data analyst
2081,"statistics, data analysis, react, pytorch, c++, docker","kubernetes, pycharm",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2082,"machine learning, linux, tableau, sql, html, embedded systems","figma, postman, google cloud",ai/ml,undergraduate,AI Engineer,ai engineer
2083,"html, c++, git, tensorflow, statistics, azure, python","jira, kubernetes, gitlab",design,postgraduate,UI/UX Designer,ui/ux designer
2084,"kubernetes, react, html, javascript, python, tensorflow","docker, gitlab, figma",data science,graduate,Data Scientist,data scientist
2085,"kubernetes, docker, sql, tensorflow, react, aws","postman, azure portal",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
2086,"networking, pytorch, react, data analysis","google cloud, jira, postman",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2087,"c++, embedded systems, data analysis, hadoop, cybersecurity","jira, jupyter, google cloud",iot,graduate,Embedded Systems Engineer,embedded systems engineer
2088,"java, spark, linux, sql, networking, c++","docker, postman, pycharm, jupyter",web development,postgraduate,Frontend Developer,frontend developer
2089,"react, css, azure, java, aws, html, data analysis","aws ec2, pycharm, figma, docker",ai/ml,graduate,AI Engineer,ai engineer
2090,"deep learning, nlp, java, power bi, ui/ux, azure","vs code, jira, kubernetes, figma",cloud,undergraduate,DevOps Engineer,devops engineer
2091,"deep learning, c++, sql, git","jira, postman",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
2092,"deep learning, html, kubernetes, react, spark","github, pycharm, vs code, jupyter",ai/ml,undergraduate,AI Engineer,ai engineer
2093,"sql, deep learning, html, git, react, pytorch","google cloud, vs code, docker, azure portal",web development,postgraduate,Frontend Developer,frontend developer
2094,"figma, linux, python, html","vs code, google cloud, kubernetes, docker",ai/ml,undergraduate,AI Engineer,ai engineer
2095,"react, tableau, rest apis, html","azure portal, figma",cloud,postgraduate,DevOps Engineer,devops engineer
2096,"python, linux, react, javascript","postman, pycharm, vs code",cloud,undergraduate,Cloud Engineer,cloud engineer
